tconst,primaryTitle,startYear,runtimeMinutes,poster_path,averageRating,numVotes,W_Note,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,War,Western
tt0051459,Cat on a Hot Tin Roof,1958,108,/vWf1AR8rC6WjGKELlmLv2VAUZJB.jpg,7.9,53738,7.61424217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0051554,Horror of Dracula,1958,82,/1L45hwUu1P4NRhbRRrE5d9oHamm.jpg,7.2,28214,7.106039764,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0051622,The Fly,1958,94,/kXdBcDh2EbgSIf4Oo1dxKapZM2f.jpg,7.1,25872,7.050857053,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
tt0052311,Touch of Evil,1958,95,/1pvRgmfBaoMczIJBOi9gCOZ4FMC.jpg,8,110308,7.81523635,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
tt0052357,Vertigo,1958,128,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,8.3,430527,8.228654064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
tt0053125,North by Northwest,1959,136,/ay0dOKJgyK4VEh3xakV15UgvJMF.jpg,8.3,348521,8.212990167,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt0053285,Sleeping Beauty,1959,75,/e3K5cLvVRXVxhw4mXQET92p1dnz.jpg,7.2,162057,7.17327018,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0053291,Some Like It Hot,1959,121,/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg,8.2,285455,8.103367638,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
tt0053604,The Apartment,1960,125,/dmaRf8ROeSmg4duvFeMLq2ULnk3.jpg,8.3,198633,8.154672611,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0054047,The Magnificent Seven,1960,128,/e5ToxOyJwuZD4VOfI0qEn5uIjeJ.jpg,7.7,103241,7.563538182,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0054167,Peeping Tom,1960,101,/kCFJ1EBTGAYreKlD2wedU2HWHrO.jpg,7.6,39861,7.368736221,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0054698,Breakfast at Tiffany's,1961,115,/79xm4gXw4l7A5D0XukUOJRocFYQ.jpg,7.6,193386,7.531314278,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0054953,The Guns of Navarone,1961,158,/j6VSFnm20GlkUi8yb7hM5Qfc1fA.jpg,7.5,55950,7.345583694,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
